Date,Year,Locality,Estimated Value,Sale Price,Property,Residential,num_rooms,num_bathrooms,carpet_area,property_tax_rate,Face
1/3/2014,2014,,151890,92500,Two Family,Duplex,4,3,1395,1.020333,East
1/3/2014,2014,Bridgeport,209530,121000,Three Family,Triplex,6,6,2047,1.020333,East
1/3/2014,2014,West Hartford,267300,345000,Single Family,Detached House,3,2,1085,1.020333,West
1/4/2014,2014,Stamford,740800,920000,Single Family,Detached House,3,2,,1.020333,South
1/4/2014,2014,Waterbury,58550,90100,Single Family,Detached House,3,2,,1.020333,West
1/5/2014,2014,West Hartford,165300,250000,Single Family,Detached House,3,2,948,1.020333,West
1/5/2014,2014,West Hartford,212900,279900,Single Family,Detached House,3,2,900,1.020333,North
1/6/2014,2014,,164560,65000,Two Family,Duplex,4,3,1321,1.020333,West
1/6/2014,2014,,,272000,Single Family,Detached House,3,2,976,1.020333,North
1/6/2014,2014,Bridgeport,219410,91500,Two Family,Duplex,4,3,1208,1.020333,West
1/7/2014,2014,Norwalk,292250,407000,?,Detached House,3,2,937,1.020333,South
1/10/2014,2014,Bridgeport,84280,100000,Single Family,Detached House,3,1,,1.020333,North
1/11/2014,2014,Waterbury,158652,50000,?,Detached House,3,2,968,1.020333,East
1/11/2014,2014,West Hartford,,405000,?,Detached House,3,1,,1.020333,East
1/11/2014,2014,Waterbury,153760,44900,Three Family,Triplex,6,5,2125,1.020333,West
1/18/2014,2014,Bridgeport,,165000,Three Family,Triplex,6,5,1969,1.020333,North
1/18/2014,2014,Bridgeport,177850,35000,?,Fourplex,8,7,,1.020333,East
1/18/2014,2014,West Hartford,256300,247500,Single Family,Detached House,3,3,1049,1.020333,North
1/18/2014,2014,Norwalk,643860,848000,Single Family,Detached House,3,1,,1.020333,North
1/19/2014,2014,West Hartford,187400,3000,Single Family,Detached House,3,3,989,1.020333,South
1/20/2014,2014,Waterbury,125750,8500,Three Family,Triplex,6,4,1970,1.020333,East
1/20/2014,2014,Norwalk,249200,335000,?,Detached House,3,1,953,1.020333,South
1/21/2014,2014,,91720,14900,Three Family,Triplex,6,4,1931,1.020333,North
1/24/2014,2014,Bridgeport,98840,38500,?,Duplex,4,2,,1.020333,East
1/24/2014,2014,West Hartford,307100,480000,Single Family,Detached House,3,2,989,1.020333,East
1/25/2014,2014,Norwalk,224210,236700,Single Family,Detached House,3,1,962,1.020333,West
1/25/2014,2014,,,979000,Single Family,Detached House,3,3,1052,1.020333,West
1/25/2014,2014,Bridgeport,188620,52000,Three Family,Triplex,6,5,1895,1.020333,East
1/26/2014,2014,West Hartford,192800,217000,Single Family,Detached House,3,2,1032,1.020333,West
1/26/2014,2014,Waterbury,179610,215000,Single Family,Detached House,3,2,1025,1.020333,South
1/26/2014,2014,Waterbury,176610,152000,Single Family,Detached House,3,2,1052,1.020333,East
1/26/2014,2014,West Hartford,267300,465000,Single Family,Detached House,3,2,,1.020333,East
1/27/2014,2014,,,133000,Two Family,Duplex,4,3,1392,1.020333,East
1/27/2014,2014,Waterbury,168870,18500,Three Family,Triplex,6,6,2044,1.020333,West
1/28/2014,2014,Waterbury,116220,106500,Single Family,Detached House,3,2,919,1.020333,East
1/31/2014,2014,Bridgeport,175020,145000,Three Family,Triplex,6,4,2082,1.020333,South
1/31/2014,2014,Norwalk,310800,360000,Single Family,Detached House,3,1,1051,1.020333,South
1/31/2014,2014,Bridgeport,150220,95203,Two Family,Duplex,4,2,,1.020333,North
1/31/2014,2014,,149980,40000,Four Family,Fourplex,8,7,2648,1.020333,East
2/1/2014,2014,Waterbury,143820,37000,?,Triplex,6,6,1853,1.020333,North
2/1/2014,2014,Waterbury,107880,26300,Two Family,Duplex,4,3,1495,1.020333,North
2/1/2014,2014,Waterbury,131170,115000,Single Family,Detached House,3,2,1088,1.020333,West
2/1/2014,2014,Stamford,291300,320000,Single Family,Detached House,3,3,,1.020333,North
2/1/2014,2014,Waterbury,126130,143000,Single Family,Detached House,3,2,966,1.020333,North
2/1/2014,2014,West Hartford,154100,225000,Single Family,Detached House,3,1,1042,1.020333,East
2/2/2014,2014,Norwalk,,292669,?,Detached House,3,2,,1.020333,North
2/3/2014,2014,,,105000,Single Family,Detached House,3,3,957,1.020333,West
2/3/2014,2014,Bridgeport,237080,152250,Four Family,Fourplex,8,6,,1.020333,North
2/7/2014,2014,,235390,130000,Four Family,Fourplex,8,7,,1.020333,North
2/7/2014,2014,Norwalk,341600,235000,Two Family,Duplex,4,2,1338,1.020333,South
2/7/2014,2014,Norwalk,240870,15000,Two Family,Duplex,4,4,1485,1.020333,North
2/7/2014,2014,Norwalk,237090,225000,Two Family,Duplex,4,3,1255,1.020333,North
2/7/2014,2014,Norwalk,258440,345000,Single Family,Detached House,3,2,1042,1.020333,North
2/8/2014,2014,,185400,325000,?,Detached House,3,1,982,1.020333,West
2/10/2014,2014,West Hartford,248700,419000,Single Family,Detached House,3,3,994,1.020333,East
2/14/2014,2014,Stamford,366050,415000,?,Detached House,3,3,965,1.020333,West
2/15/2014,2014,West Hartford,181700,216500,Single Family,Detached House,3,3,969,1.020333,North
2/17/2014,2014,Bridgeport,160200,115000,Two Family,Duplex,4,3,1475,1.020333,West
2/18/2014,2014,Norwalk,314720,310000,Single Family,Detached House,3,1,951,1.020333,North
2/22/2014,2014,Waterbury,127650,31077,Single Family,Detached House,3,3,965,1.020333,South
2/22/2014,2014,Stamford,374430,420000,Single Family,Detached House,3,1,,1.020333,West
2/22/2014,2014,Waterbury,97810,45500,Single Family,Detached House,3,1,983,1.020333,North
2/22/2014,2014,Bridgeport,193810,250000,Two Family,Duplex,4,4,1424,1.020333,North
2/22/2014,2014,Bridgeport,225370,112000,Three Family,Triplex,6,5,1825,1.020333,North
2/24/2014,2014,Norwalk,472710,601000,Single Family,Detached House,3,1,1047,1.020333,South
2/24/2014,2014,Waterbury,135390,145000,Single Family,Detached House,3,3,1038,1.020333,South
2/24/2014,2014,Waterbury,,118005,Single Family,Detached House,3,1,1074,1.020333,North
2/28/2014,2014,Bridgeport,211200,100000,Three Family,Triplex,6,6,,1.020333,North
2/28/2014,2014,Waterbury,97340,21000,Single Family,Detached House,3,3,956,1.020333,East
2/28/2014,2014,Bridgeport,172130,188000,Two Family,Duplex,4,4,1399,1.020333,South
